"Category","Goal","Element","Question 1","Question 2","Question 3"
"Operational Cognition","Identify default problem-solving heuristics","Task decomposition patterns, evidence preferences, solution framing","When the user faces a complex task, how do they usually break it down or scope it before moving forward?","What kinds of evidence, files, or context does the user repeatedly rely on before acting?","What recurring pattern separates how this user frames a problem from how a generic user would frame it?"
"Operational Cognition","Identify representation and communication preferences","Preferred abstractions, formatting habits, naming patterns, response structure","How does the user typically want information structured when working through a task?","What language, formatting, or framing choices recur in the user's requests and revisions?","What presentation styles seem to increase trust or reduce friction for this user?"
"Work Adaptation","Understand adaptation under changing constraints","Response to new tools, unclear requirements, shifting scope, evolving context","How does the user usually respond when requirements, tools, or assumptions change mid-task?","What patterns appear when the user encounters something unfamiliar, partially understood, or under-specified?","What adaptations seem to stick and become part of the user's long-term workflow?"
"Work Adaptation","Map learning through friction and correction","Post-error adjustment, prompt refinement, process updates, retained lessons","When the assistant or system misses the mark, how does the user typically correct course?","What kinds of corrections recur often enough to suggest a stable hidden rule rather than a one-off preference?","Which fixes or clarifications seem to become durable expectations in later work?"
"Execution Drivers","Identify what actually moves work forward","Speed vs quality tradeoffs, leverage seeking, finish criteria, implementation bias","What seems to matter most to the user when turning an idea into execution?","Under time or complexity pressure, what does the user protect first and what do they relax first?","What signals indicate that the user sees a task as worth doing versus low-leverage or premature?"
"Execution Drivers","Identify motivation sources in active work","Energy-giving tasks, demotivating patterns, preferred momentum builders","What kinds of tasks or outputs appear to energize the user most in practice?","What recurring patterns suggest drag, frustration, avoidance, or loss of momentum?","What forms of visible progress seem to help the user regain traction once energy drops?"
"Decision Architecture","Extract recurring decision rules","Tradeoff logic, reversibility thresholds, proof standards, commitment triggers","How does the user make important work decisions when multiple viable paths are available?","What tradeoffs recur between speed, quality, maintainability, exploration, and completeness?","What level of proof, context, or reversibility seems necessary before the user commits?"
"Decision Architecture","Understand planning vs execution calibration","Plan-first cues, act-now cues, ambiguity thresholds, scope sensitivity","What signals suggest that the user wants planning before action rather than immediate implementation?","What signals suggest that the user wants direct execution rather than extended analysis or planning?","Where does the user shift from one mode to the other, and what usually triggers that shift?"
"Workflow Inheritance and Reinvention","Reveal inherited versus self-authored workflow habits","Borrowed conventions, rejected defaults, custom operating patterns","Which common workflows or conventions does the user seem to adopt with little friction?","Which standard practices does the user repeatedly push against, revise, or reject?","What methods, structures, or tool combinations seem uniquely theirs rather than inherited from the ecosystem?"
"Workflow Inheritance and Reinvention","Identify workflow sequencing rules","Order of operations, review-before-action habits, context-loading sequence, staging behavior","What recurring sequence does the user prefer when approaching non-trivial work?","Which preparatory steps does the user seem to expect before implementation or recommendation?","What ordering mistakes by the assistant appear to reliably create friction or mistrust?"
"Operational Stability and Recovery","Understand smooth operation versus overload","Friction signals, breakdown patterns, recovery behaviors, load management","What patterns suggest the user is operating smoothly versus stretched too thin?","When work starts to break down, what kinds of failures, omissions, or tensions tend to appear first?","What behaviors, tools, or framing moves help the user restore clarity after disruption?"
"Operational Stability and Recovery","Map error recovery expectations","Bug-handling posture, diagnosis style, repair loops, verification expectations","How does the user tend to present bugs, regressions, or unexpected behavior?","What kinds of diagnosis, verification, or explanation seem necessary before the user trusts a fix?","What repair patterns suggest the user's preferred balance between speed of fix and confidence in correctness?"
"Craft Identity and Mission","Understand the larger narrative behind the work","Mission orientation, recurring project themes, craft self-concept, enduring ambitions","What kind of work does the user seem to believe they are fundamentally trying to do across projects?","What recurring themes or project types appear to carry outsized importance for the user?","How does this larger mission shape the standards, systems, or kinds of tasks the user repeatedly pursues?"
"Quality Philosophy","Extract the user's hidden standards of good work","Finish quality, review criteria, anti-patterns, evidence of satisfaction or dissatisfaction","What recurring signals indicate that the user sees something as high quality?","What kinds of outputs, implementations, or responses does the user reliably reject, revise, or tighten?","What does done well appear to mean for this user beyond generic correctness?"
"Prioritization and Tradeoff Logic","Understand value hierarchy in action","Urgency, leverage, sequencing, omission, scope control","How does the user decide what deserves attention first when several tasks compete?","When multiple worthwhile paths are available, what rules appear to govern prioritization?","What kinds of work does the user intentionally defer, compress, or avoid even when it could still be useful?"
"Exploration and Risk Posture","Understand stability versus experimentation","Comfort zones, improvement seeking, appetite for novelty, acceptable risk","Where does the user appear most confident and operationally fluent?","When does the user seem willing to experiment, and when do they prefer established paths?","How does the user balance reliable execution with the desire to improve, simplify, or reinvent?"
"Collaboration and Power Dynamics","Understand coordination, ownership, and influence","Feedback style, delegation, authority handling, handoff expectations, role clarity","How does the user typically coordinate with other people, agents, or systems to move work forward?","What patterns show up when the user gives feedback, pushes for changes, or negotiates constraints?","How does the user appear to handle ownership, authority, and handoff in collaborative work?"
"Failure Modes and Hidden Constraints","Surface recurring weak spots and implied constraints","Blindspots, aversion patterns, hidden requirements, assistant failure traps","What failure patterns or friction loops recur across the user's work?","What constraints seem important but are often implied rather than explicitly stated?","What assistant behaviors would likely reinforce the user's weak spots or create repeated disappointment?"
"Automation Hotspots and Transformation Potential","Identify repeatable loops worth formalizing","Recurring workflows, scalable heuristics, upgrade opportunities, durable process change","What repeated sequence of request, context gathering, and execution appears often enough to be a strong automation candidate?","Which habits or decision rules seem stable enough to encode into prompts, tools, or agent workflows?","Where does the user appear most ready to automate, upgrade, or fundamentally rethink how work gets done?"
